iter	Passed	Remaining
0	2002	999058
1	3792	944338
2	5529	916051
3	7373	914334
4	9141	905052
5	11037	908765
6	12896	908311
7	14945	919169
8	16914	922765
9	18877	925013
10	20839	926390
11	22721	924001
12	24708	925623
13	26559	921993
14	28443	919682
15	30337	917695
16	32272	916930
17	34246	917054
18	36230	917204
19	38107	914575
20	40170	916268
21	42210	917128
22	44336	919504
23	46341	919114
24	48430	920179
25	50401	918851
26	52323	916626
27	54237	914292
28	56178	912418
29	58040	909308
30	59976	907385
31	61876	904939
32	63791	902749
33	65749	901155
34	67736	899931
35	69684	898156
36	71643	896509
37	73593	894738
38	75568	893253
39	77400	890107
40	79354	888381
41	81219	885678
42	83089	883072
43	84957	880467
44	86949	879160
45	88786	876284
46	90728	874468
47	92687	872811
48	94520	869973
49	96412	867708
50	98432	866587
51	100324	864336
52	102272	862559
53	104225	860827
54	106167	858995
55	108113	857185
56	110012	855006
57	111845	852343
58	113804	850637
59	115774	849009
60	117653	846722
61	119614	845016
62	121550	843136
63	123423	840821
64	125268	838333
65	127338	837348
66	129423	836421
67	131472	835233
68	133557	834252
69	135493	832319
70	137385	830118
71	139266	827861
72	141193	825886
73	143034	823413
74	144867	820916
75	146820	819104
76	148695	816857
77	150554	814538
78	152417	812251
79	154283	809990
80	156151	807745
81	158116	806006
82	159953	803619
83	161904	801813
84	163851	799978
85	165700	797676
86	167641	795814
87	169582	793956
88	171472	791854
89	173444	790134
90	175498	788779
91	177746	788266
92	180753	791039
93	182802	789550
94	184710	787449
95	186574	785166
96	188460	782987
97	190519	781520
98	192567	779997
99	194688	778753
100	196800	777460
101	198923	776191
102	200971	774616
103	203005	772981
104	204896	770800
105	206826	768771
106	208895	767250
107	210937	765624
108	213039	764207
109	215140	762771
110	217154	761018
111	219119	759094
112	221029	756975
113	223015	755121
114	224947	753084
115	226847	750944
116	228789	748944
117	230732	746947
118	232673	744946
119	234511	742620
120	236564	740973
121	238741	739708
122	240855	738232
123	242938	736651
124	245054	735163
125	247127	733536
126	249024	731385
127	250930	729267
128	252954	727489
129	254999	725768
130	257028	723995
131	259078	722279
132	261216	720800
133	263188	718857
134	265131	716837
135	267066	714796
136	268899	712485
137	270786	710323
138	272866	708667
139	274950	707015
140	277046	705387
141	279177	703841
142	281165	701931
143	283106	699902
144	284928	697583
145	287060	696023
146	289618	695479
147	291699	693771
148	293662	691781
149	295579	689686
150	297686	688029
151	299593	685911
152	301715	684282
153	304139	683326
154	306095	681309
155	308129	679465
156	310098	677476
157	312194	675763
158	314135	673711
159	316067	671642
160	317980	669537
161	319915	667478
162	321699	665109
163	323530	662843
164	325634	661135
165	327651	659250
166	329663	657352
167	331607	655318
168	333547	653279
169	335484	651234
170	337499	649340
171	339484	647389
172	341495	645485
173	343377	643339
174	345404	641464
175	347652	639996
176	349853	638433
177	351996	636758
178	354002	634832
179	355929	632763
180	357727	630470
181	359665	628426
182	361636	626441
183	363594	624433
184	365573	622463
185	367508	620417
186	369450	618385
187	371382	616336
188	373311	614285
189	375316	612359
190	377361	610495
191	379202	608304
192	381145	606278
193	383076	604233
194	385010	602195
195	386954	600173
196	388978	598276
197	390924	596257
198	392975	594399
199	394875	592312
200	396806	590273
201	398625	588071
202	400434	585857
203	402355	583810
204	404249	581725
205	406169	579678
206	407978	577477
207	409926	575474
208	411888	573491
209	413882	571552
210	415808	569520
211	417746	567504
212	419661	565459
213	421581	563422
214	423491	561372
215	425435	559369
216	427262	557213
217	429167	555161
218	430978	552990
219	432830	550875
220	434820	548936
221	436649	546795
222	438473	544650
223	440399	542635
224	442344	540643
225	444293	538656
226	446274	536709
227	448243	534746
228	450177	532742
229	452135	530767
